Price1,Price2,Price3,Date
,102.61570657382629,83.3795550303387,2023-04-12
92.55514831403543,102.40081310034488,86.37008115062065,2023-04-13
89.93019551660211,102.64443336680073,84.6086487152821,2023-04-14
95.53640055393493,102.101846094777,83.49915632829084,2023-04-15
91.18943326848319,102.00269888018813,83.18127182216695,2023-04-16
92.21862478603833,102.21507239168884,82.39203380492899,2023-04-17
94.06133590468183,100.7348390621488,84.30681409276197,2023-04-18
93.31935482758443,102.22744420233074,84.80743919828609,2023-04-19
92.42402454431873,101.16696378610227,83.59864185711817,2023-04-20
89.70735406903363,103.15154332799585,83.64109679148991,2023-04-21
97.01583998328077,101.9177122713773,81.20986206162716,2023-04-22
92.903830035477,102.28099783283552,84.51814301041728,2023-04-23
90.23578276115181,102.68775965564302,,2023-04-24
93.0912378925964,101.6902487286158,81.24643475053281,2023-04-25
93.97247690198697,,,2023-04-26
92.4460697435058,102.02485594822635,83.87550932484004,2023-04-27
90.67384445351226,102.2645607705036,82.18761776478028,2023-04-28
89.85052069389211,102.37901613960199,84.70620090637767,2023-04-29
93.29291581603158,101.12571145410334,83.69409774814429,2023-04-30
,,83.27132792173086,2023-05-01
